Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JAN-2025,14.4475,14.835,14.305,14.5075,14.4475,0.06,0.42
02-JAN-2025,14.5075,14.8025,13.63,13.7375,14.5075,-0.77,-5.31
03-JAN-2025,13.7375,13.9775,13.225,13.54,13.7375,-0.20,-1.44
06-JAN-2025,13.54,15.92,13.54,15.65,13.54,2.11,15.58
07-JAN-2025,15.65,15.65,14.345,14.66,15.65,-0.99,-6.33
08-JAN-2025,14.66,14.88,14.095,14.465,14.66,-0.20,-1.33
09-JAN-2025,14.465,14.885,13.7475,14.6575,14.465,0.19,1.33
10-JAN-2025,14.6575,15.515,14.6575,14.915,14.6575,0.26,1.76
13-JAN-2025,14.915,16.185,14.45,15.9975,14.915,1.08,7.26
14-JAN-2025,15.9975,15.9975,15.115,15.47,15.9975,-0.53,-3.30
15-JAN-2025,15.47,15.6625,15.1975,15.2575,15.47,-0.21,-1.37
16-JAN-2025,15.2575,15.5725,13.9575,15.465,15.2575,0.21,1.36
17-JAN-2025,15.465,16.3825,14.0525,15.7475,15.465,0.28,1.83
20-JAN-2025,15.7475,17.02,15.1825,16.415,15.7475,0.67,4.24
21-JAN-2025,16.415,17.445,15.2025,17.055,16.415,0.64,3.90
22-JAN-2025,17.055,17.295,15.905,16.7725,17.055,-0.28,-1.66
23-JAN-2025,16.7725,17.0825,15.6675,16.695,16.7725,-0.08,-0.46
24-JAN-2025,16.695,17.31,16.1175,16.745,16.695,0.05,0.30
27-JAN-2025,16.745,18.5225,16.745,18.1325,16.745,1.39,8.29
28-JAN-2025,18.1325,18.5025,16.8275,18.195,18.1325,0.06,0.34
29-JAN-2025,18.195,19.01,17.2875,18.64,18.195,0.45,2.45
30-JAN-2025,18.64,18.985,17.2175,17.39,18.64,-1.25,-6.71
31-JAN-2025,17.39,17.9425,16.1075,16.2475,17.39,-1.14,-6.57
01-FEB-2025,16.2475,16.58,14.0125,14.095,16.2475,-2.15,-13.25
03-FEB-2025,14.095,15.1125,14.095,14.3525,14.095,0.26,1.83
04-FEB-2025,14.3525,15.1325,13.665,14.0175,14.3525,-0.34,-2.33
05-FEB-2025,14.0175,14.2975,13.4975,14.0825,14.0175,0.07,0.46
06-FEB-2025,14.0825,14.64,13.15,14.175,14.0825,0.09,0.66
07-FEB-2025,14.175,14.505,13.55,13.685,14.175,-0.49,-3.46
10-FEB-2025,13.685,14.7175,13.685,14.445,13.685,0.76,5.55
11-FEB-2025,14.445,15.4325,13.845,14.87,14.445,0.43,2.94
12-FEB-2025,14.87,15.6225,14.6075,14.895,14.87,0.03,0.17
13-FEB-2025,14.895,15.465,12.195,14.955,14.895,0.06,0.40
14-FEB-2025,14.955,15.6775,14.3575,15.015,14.955,0.06,0.40
17-FEB-2025,15.015,16.31,14.4975,15.7225,15.015,0.71,4.71
18-FEB-2025,15.7225,16.3225,14.78,15.665,15.7225,-0.06,-0.37
19-FEB-2025,15.665,16.0225,14.7525,15.42,15.665,-0.25,-1.56
20-FEB-2025,15.42,15.9025,14.6375,14.6825,15.42,-0.74,-4.78
21-FEB-2025,14.6825,15.2425,12.0825,14.53,14.6825,-0.15,-1.04
24-FEB-2025,14.53,15.58,14.365,14.44,14.53,-0.09,-0.62
25-FEB-2025,14.4425,15.0775,13.605,13.72,14.4425,-0.72,-5.00
27-FEB-2025,13.715,14.0075,12.91,13.31,13.715,-0.41,-2.95
28-FEB-2025,13.3075,14.1225,13.2325,13.91,13.3075,0.60,4.53
03-MAR-2025,13.91,14.36,13.5675,13.76,13.91,-0.15,-1.08
04-MAR-2025,13.7625,14.1975,13.3725,13.83,13.7625,0.07,0.49
05-MAR-2025,13.83,14.13,13.095,13.67,13.83,-0.16,-1.16
06-MAR-2025,13.67,14.1775,13.28,13.73,13.67,0.06,0.44
07-MAR-2025,13.725,13.86,13.3325,13.47,13.725,-0.26,-1.86
10-MAR-2025,13.47,14.2075,13.47,13.99,13.47,0.52,3.86
11-MAR-2025,13.985,14.5025,13.675,14.07,13.985,0.09,0.61
12-MAR-2025,14.0725,14.3725,13.635,13.69,14.0725,-0.38,-2.72
13-MAR-2025,13.6925,13.9275,13.2225,13.28,13.6925,-0.41,-3.01
17-MAR-2025,13.28,14.0975,13.28,13.42,13.28,0.14,1.05
18-MAR-2025,13.415,13.6525,11.3425,13.21,13.415,-0.21,-1.53
19-MAR-2025,13.21,13.5725,12.585,13.3,13.21,0.09,0.68
20-MAR-2025,13.2975,13.2975,12.5125,12.6,13.2975,-0.70,-5.25
21-MAR-2025,12.6025,12.835,10.695,12.58,12.6025,-0.02,-0.18
24-MAR-2025,12.575,13.9525,12.575,13.7,12.575,1.13,8.95
25-MAR-2025,13.7,14.475,13.49,13.64,13.7,-0.06,-0.44
